,brand,price,currency,oldPrice,discountIn%,shepper,rating,topSeller,description
383,سامسونج,22999.0,جنيه ,0,0,noon-express,4.7,no,سامسونج هاتف جالاكسي نوت 20 ألترا ثنائي الشريحة وذاكرة رام بسعة 12 جيجابايت وذاكرة داخلية بسعة 256 جيجابايت ويدعم تقنية 5G - لون برونزي داكن …
384,شاومي,11200.0,جنيه ,0,0,noon-express,4.5,no,شاومي هاتف 11T ثنائي الشريحة بذاكرة رام 8 جيجابايت وذاكرة داخلية 256 جيجابايت ويدعم تقنية 5G، بلون رمادي ميتيورايت - إصدار العالمي …
385,أبل,20840.0,جنيه ,27228,23,noon-express,4.8,yes,أبل هاتف آيفون 13 بذاكرة داخلية سعة 128 جيجابايت يدعم تقنية 5G مع تطبيق فيس تايم بلون وردي - النسخة العالمية …
386,شاومي,11225.0,جنيه ,0,0,noon-express,4.8,yes,شاومي Redmi Note 11 Pro Plus 5G Dual SIM Graphite Gray 8GB RAM 256GB - Global Version …
387,أبل,21499.0,جنيه ,0,0,noon-express,4.9,no,أبل آيفون 13 سعة 128 جيجابايت يدعم تقنية 5G مع فيس تايم بلون سماء الليل - نسخة المملكة العربية السعودية …
388,فيفو,5385.0,جنيه ,0,0,noon-express,,no,"فيفو Y33a Internal Memory 128 GB ,4 GB Ram ,6.58 inches -Midday Dream …"
389,سامسونج,20799.0,جنيه ,25000,16,noon-express,4.9,no,سامسونج هاتف جالاكسي نوت 20 ألترا ثنائي الشريحة بذاكرة رام سعة 8 جيجابايت وسعة تخزين داخلية 256 جيجابايت يدعم تقنية 4G LTE - إصدار عالمي - بلون أسود داكن …
390,أوبو,9820.0,جنيه ,0,0,noon-express,,yes,أوبو Reno 7 Orange Dual Sim 8GB RAM 256GB 4G LTE …
391,شاومي,7333.0,جنيه ,7535,0,noon-express,5.0,no,شاومي هاتف ريدمي نوت 11s ثنائي الشريحة بذاكرة رام سعة 6 جيجابايت وذاكرة داخلية سعة 128 جيجابايت ويدعم تقنية 4G LTE، لون رمادي جرافيتي - إصدار عالمي …
392,سامسونج,6942.0,جنيه ,0,0,noon-express,4.7,no,سامسونج هاتف جالاكسي A32 ثنائي الشريحة بلون أسود أوسوم وذاكرة رام 6 جيجابايت وذاكرة داخلية 128 جيجابايت يدعم تقنية 4G LTE - إصدار الشرق الأوسط …
393,شاومي,4840.0,جنيه ,5249,7,noon-express,4.3,no,شاومي هاتف ريدمي 10C ثنائي الشريحة، لون رصاصي داكن، ذاكرة رام سعة 4 جيجابايت، ذاكرة داخلية سعة 128 جيجابايت، تقنية 4G LTE - إصدار عالمي …
394,سامسونج,6220.0,جنيه ,0,0,noon-express,,yes,سامسونج هاتف جالاكسي A23 ثنائي الشريحة بذاكرة رام 6 جيجابايت وذاكرة داخلية 128 جيجابايت ويدعم تقنية LTE بلون خوخي - إصدار الشرق الأوسط …
395,سامسونج,18700.0,جنيه ,19550,0,noon-express,4.3,no,سامسونج هاتف جالاكسي Z فليب 3 بشريحة واحدة وذاكرة رام سعة 8 جيجابايت وذاكرة داخلية سعة 256 جيجابايت ويدعم تقنية 5G، لون أسود فانتوم - إصدار عالمي …
396,شاومي,6666.0,جنيه ,8050,17,noon-express,4.2,no,شاومي هاتف ريدمي نوت 11 ثنائي الشريحة بذاكرة رام سعة 6 جيجابايت وذاكرة داخلية سعة 128 جيجابايت ويدعم تقنية 4G LTE - إصدار عالمي، لون أزرق تويلايت …
397,أبل,17100.0,جنيه ,18379,6,noon-express,,no,أبل آيفون Xs  ماكس مع فيس تايم سعة 512 جيجابايت يدعم تقنية 4G LTE رمادي فلكي …
398,أوبو,5399.0,جنيه ,0,0,noon-express,4.7,no,أوبو A54 Dual SIM Starry Blue 4GB RAM 128GB 4G LTE …
399,شاومي,5599.0,جنيه ,0,0,noon-express,4.6,no,شاومي Redmi 10 2022 Dual SIM Carbon Gray 4GB RAM 128GB - Global Version …
